X,metric,actual,random_reps,random_mean,random_sd,random_min,random_max,zscore,empirical_ge_fraction,empirical_le_fraction
32,F3,0,64,1.59375,2.6709415140411763,0,6,-0.5966996999453692,1,0.734375
32,ordered_primitive_signed_total,-1.9129506236900566,64,-0.19377012708430139,2.5810589171994089,-2.9195189537561061,5.1108362884804848,-0.66607565024945681,0.6875,0.3125
32,ordered_primitive_abs_mass,1.9129506236900566,64,3.1500812238091478,2.3953866394800682,0.30666395832871618,7.8638532676714012,-0.51646384751800112,0.578125,0.421875
32,triple_top1_abs_share,0.29664660558722894,64,0.49889957281761244,0.19392667606570699,0.25962053867187029,0.88337301478550911,-1.0429352543631252,0.921875,0.078125
32,triple_top5_abs_share,1,64,1,0,1,1,NA,1,1
32,triple_top10_abs_share,1,64,1,0,1,1,NA,1,1
32,triple_participation_ratio,3.9069785137262198,64,2.8455313338400385,0.89073800429860672,1.2693945037374348,3.9963999793644649,1.1916491434784979,0.078125,0.921875
32,max_load,2,64,2.265625,0.44515691900686272,2,3,-0.5966996999453692,1,0.734375
32,rows_K_ge_3,0,64,0.265625,0.44515691900686272,0,1,-0.5966996999453692,1,0.734375
64,F3,0,64,0,0,0,0,NA,1,1
64,ordered_primitive_signed_total,0,64,0,0,0,0,NA,1,1
64,ordered_primitive_abs_mass,0,64,0,0,0,0,NA,1,1
64,triple_top1_abs_share,0,64,0,0,0,0,NA,1,1
64,triple_top5_abs_share,0,64,0,0,0,0,NA,1,1
64,triple_top10_abs_share,0,64,0,0,0,0,NA,1,1
64,triple_participation_ratio,0,64,0,0,0,0,NA,1,1
64,max_load,2,64,2,0,2,2,NA,1,1
64,rows_K_ge_3,0,64,0,0,0,0,NA,1,1
128,F3,60,64,55.21875,19.746383032270565,24,132,0.24213295124409534,0.40625,0.6875
128,ordered_primitive_signed_total,11.31142525676521,64,5.9221085804709643,19.124442918691361,-26.124337475113954,83.53754389089859,0.281802544482327,0.34375,0.65625
128,ordered_primitive_abs_mass,104.01806758866651,64,100.74480805005257,19.350791797125396,63.71624660519791,167.26751451375733,0.16915377793999067,0.40625,0.59375
128,triple_top1_abs_share,0.057148131957953908,64,0.061662553979546515,0.014786098142006533,0.035058931256201298,0.13964969333802416,-0.30531530213284391,0.59375,0.40625
128,triple_top5_abs_share,0.2802028320696025,64,0.29654457405473861,0.049550838367985704,0.17355788205426317,0.41370060256683261,-0.3297974872549147,0.609375,0.390625
128,triple_top10_abs_share,0.55153620424657113,64,0.48291286533936895,0.049957264812709422,0.34437599677380298,0.56098450432869251,1.3736408341103574,0.046875,0.953125
128,triple_participation_ratio,31.752953287151012,64,32.781447564105434,2.9262345453955452,25.01703176036883,39.335174128657954,-0.35147362967632473,0.578125,0.421875
128,max_load,3,64,3.34375,0.51079614173630794,3,5,-0.67296906126095324,1,0.671875
128,rows_K_ge_3,10,64,8.03125,2.2815251790977769,4,14,0.86290960890404766,0.296875,0.828125
256,F3,60,64,112.5,23.323807579381203,66,168,-2.2509189299954282,1,0
256,ordered_primitive_signed_total,-33.342635026029996,64,8.487854995566428,23.245671434227475,-37.583239838904561,64.003827275263788,-1.799495882059325,0.984375,0.015625
256,ordered_primitive_abs_mass,151.08249348661974,64,206.46084682510707,22.659411415831666,162.45729229611669,257.87404569802084,-2.4439449164065934,1,0
256,triple_top1_abs_share,0.039219175142939294,64,0.035426788327755657,0.0109499213080505,0.023096023619081165,0.065259634113384687,0.34633918440997691,0.25,0.75
256,triple_top5_abs_share,0.19421452223027463,64,0.15132935233038011,0.017654843636650059,0.11507719458390656,0.19832242316663062,2.429088061186127,0.03125,0.96875
256,triple_top10_abs_share,0.38417885054262674,64,0.29350691338824486,0.029906316954624479,0.22956793997866151,0.36506418292881565,3.0318657189367171,0,1
256,triple_participation_ratio,62.786882974368659,64,65.538217380423774,3.8935828834968698,55.728827454536855,74.920309733891102,-0.70663306480947718,0.8125,0.1875
256,max_load,3,64,3.453125,0.53243041128127055,3,5,-0.85105018496140084,1,0.5625
256,rows_K_ge_3,10,64,17.0625,2.8997810535849355,11,23,-2.4355287069928218,1,0
